Mature_Name	Sample_1	Sample_2	Sample_3	Sample_4	Sample_5	Sample_6	Sample_7	Sample_8	Sample_9	Sample_10	Sample_11	Sample_12	Sample_13	Sample_14	Sample_15
miR-339-3p	1	6	3	11	8	7	3	1	4	2	14	10	5	2	9
miR-339-5p	2	4	NA	3	6	2	1	1	2	1	1	4	NA	1	3
miR-342-5p	2	NA	1	4	3	2	1	NA	1	2	5	2	NA	2	2
miR-345-5p	2	1	2	5	3	3	5	NA	5	4	10	8	3	1	15
miR-346	4	1	NA	2	NA	4	NA	NA	1	2	3	4	3	2	NA
miR-34a-5p	7	5	7	11	14	8	10	8	13	9	18	29	4	12	42
miR-34b-5p	4	20	NA	16	48	9	NA	11	5	12	15	9	9	7	NA
miR-34c-3p	1	NA	NA	NA	NA	1	NA	NA	NA	1	NA	NA	NA	NA	NA
miR-34c-5p	5	20	NA	16	50	9	NA	11	5	12	15	9	9	7	NA
miR-3606-3p	1	NA	NA	NA	NA	2	NA	NA	NA	NA	NA	NA	NA	NA	NA
miR-361-3p	6	11	14	8	13	9	5	5	11	8	26	18	3	NA	25
miR-361-5p	10	28	7	17	42	12	9	13	11	20	34	16	10	10	33
miR-3613-5p	4	6	1	3	6	1	1	3	2	4	2	1	2	3	2
miR-3614-3p	1	NA	1	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
miR-3614-5p	1	NA	NA	1	6	NA	1	NA	1	3	NA	NA	NA	1	1
miR-3615	2	2	2	NA	2	NA	NA	1	4	NA	5	4	4	1	3
miR-3617-5p	1	NA	NA	NA	NA	NA	NA	2	NA	NA	NA	NA	NA	NA	NA
miR-363-3p	8	17	1	12	17	8	NA	7	8	10	13	10	13	6	2
miR-3648	1	NA	NA	NA	NA	1	NA	NA	1	NA	1	1	2	1	NA
miR-365a-3p	12	22	8	8	32	3	6	8	2	9	5	3	6	10	35
miR-365b-3p	12	22	8	8	32	3	6	8	2	9	5	3	6	10	35
miR-3664-3p	4	NA	NA	3	2	3	NA	NA	7	NA	1	8	5	2	NA
miR-3687	4	1	NA	6	3	11	NA	2	34	7	13	22	8	6	NA
miR-3688-3p	1	NA	1	NA	NA	1	3	NA	1	NA	NA	1	1	1	NA
miR-369-5p	3	4	NA	2	3	1	NA	2	2	1	1	4	4	1	NA
miR-370-3p	4	3	1	10	5	4	1	2	5	6	13	6	3	3	NA
miR-371a-3p	1	2	NA	1	1	NA	NA	NA	1	NA	NA	NA	NA	1	NA
miR-371a-5p	1	6	NA	3	13	2	NA	4	NA	5	NA	NA	2	5	NA
miR-371b-3p	4	6	NA	7	5	6	6	2	10	1	6	8	3	4	NA
miR-372-3p	3	6	NA	NA	15	1	NA	3	NA	3	1	NA	3	1	NA
miR-373-3p	5	14	NA	6	28	4	NA	7	NA	13	NA	1	3	3	NA
miR-374a-3p	9	13	6	8	33	4	6	8	1	16	13	3	5	3	25
miR-375	7	4	66	16	13	11	46	6	4	12	4	1	11	12	210
miR-376a-2-5p	1	1	NA	NA	4	NA	NA	1	NA	1	NA	NA	NA	2	NA
miR-376a-3p	10	47	1	8	61	4	1	14	4	13	4	5	7	17	2
miR-376a-5p	7	24	NA	12	40	1	2	18	5	10	10	4	5	5	1
miR-376b-3p	1	4	NA	1	5	1	NA	2	2	3	NA	NA	2	4	NA
miR-376c-3p	9	43	1	7	56	2	1	12	2	10	5	5	5	14	2
miR-377-3p	3	9	NA	5	15	NA	1	6	1	3	5	1	4	4	NA
miR-379-3p	1	11	NA	2	7	2	NA	6	1	6	3	4	1	1	NA
miR-379-5p	2	4	NA	4	9	3	NA	4	5	3	5	10	2	1	1
miR-380-3p	1	1	NA	NA	1	1	NA	NA	1	NA	NA	NA	NA	NA	NA
miR-381-3p	53	114	1	99	198	64	8	64	66	98	149	67	59	42	22
miR-382-3p	4	8	NA	1	9	2	NA	6	NA	2	4	1	2	2	NA
miR-382-5p	5	4	NA	3	10	1	NA	1	2	3	5	2	1	4	NA
miR-3909	2	1	NA	1	NA	2	NA	NA	NA	1	1	1	NA	NA	NA
miR-3916	1	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	1	1	NA
miR-3919	1	NA	NA	NA	NA	1	NA	NA	NA	NA	1	NA	NA	NA	NA
miR-3925-5p	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	NA	NA
miR-3927-3p	1	1	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
miR-3943	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	1	NA	3	NA
miR-3944-3p	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
miR-3960	264	79	85	554	86	526	102	78	850	370	964	1026	530	358	125
miR-409-3p	4	6	NA	NA	18	1	NA	1	2	6	4	2	2	2	NA
miR-409-5p	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
miR-410-3p	45	105	3	56	155	44	3	59	34	47	80	34	40	23	3
miR-411-3p	1	11	NA	2	7	2	NA	6	1	6	3	4	1	1	NA
miR-411-5p	81	145	12	80	190	59	10	69	68	116	154	85	62	62	45
miR-421	2	10	2	7	24	10	3	4	9	5	32	15	9	4	9
miR-423-3p	38	60	30	73	121	43	27	26	58	69	217	106	64	41	195
miR-424-3p	8	27	NA	2	42	6	NA	16	NA	12	2	1	4	5	1
miR-424-5p	50	173	NA	25	294	16	1	89	NA	68	1	2	15	26	15
miR-425-3p	2	4	NA	NA	2	3	1	NA	1	NA	2	4	1	2	3
miR-432-3p	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
miR-432-5p	8	34	NA	24	52	15	1	18	14	28	38	29	11	12	2
miR-4324	1	1	NA	NA	NA	NA	NA	NA	NA	NA	1	2	NA	NA	NA
miR-4424	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	NA	1	NA
miR-4429	1	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
miR-4431	1	NA	1	NA	NA	NA	NA	NA	1	NA	NA	NA	1	NA	1
miR-4433b-5p	2	NA	NA	NA	1	5	NA	1	1	1	1	3	2	NA	1
miR-4449	4	2	2	4	4	1	2	5	5	11	6	3	1	10	8
miR-4450	1	NA	NA	1	NA	NA	NA	NA	NA	NA	2	NA	NA	NA	NA
miR-4454	98	93	39	85	91	78	54	113	71	156	70	86	80	130	59
miR-4459	1	NA	2	1	NA	5	NA	NA	9	1	4	3	4	NA	2
miR-4477a	1	NA	NA	1	NA	NA	1	NA	1	NA	NA	NA	1	NA	NA
